Statistical Errors in Software Engineering Experiments: A Preliminary Literature Review,R. P. Reyes Ch.; O. Dieste; E. R. Fonseca C.; N. Juristo,2018
3rd FME Workshop on Formal Methods in Software Engineering (FormaliSE 2015),S. Gnesi; N. Plat,2015
A Novel Neural Source Code Representation Based on Abstract Syntax Tree,J. Zhang; X. Wang; H. Zhang; H. Sun; K. Wang; X. Liu,2019
Balancing Soundness and Efficiency for Practical Testing of Configurable Systems,S. Souto; M. D'Amorim; R. Gheyi,2017
Stochastic Optimization of Program Obfuscation,H. Liu; C. Sun; Z. Su; Y. Jiang; M. Gu; J. Sun,2017
Search-Based Energy Testing of Android,R. Jabbarvand; J. Lin; S. Malek,2019
Syntactic and Semantic Differencing for Combinatorial Models of Test Designs,R. Tzoref-Brill; S. Maoz,2017
A Test-Suite Diagnosability Metric for Spectrum-Based Fault Localization Approaches,A. Perez; R. Abreu; A. van Deursen,2017
Statically Checking Web API Requests in JavaScript,E. Wittern; A. T. T. Ying; Y. Zheng; J. Dolby; J. A. Laredo,2017
Repairing Event Race Errors by Controlling Nondeterminism,C. Q. Adamsen; A. M?ller; R. Karim; M. Sridharan; F. Tip; K. Sen,2017
Automatically Generating Precise Oracles from Structured Natural Language Specifications,M. Motwani; Y. Brun,2019
Code Defenders: Crowdsourcing Effective Tests and Subtle Mutants with a Mutation Testing Game,J. M. Rojas; T. D. White; B. S. Clegg; G. Fraser,2017
Leveraging Artifact Trees to Evolve and Reuse Safety Cases,A. Agrawal; S. Khoshmanesh; M. Vierhauser; M. Rahimi; J. Cleland-Huang; R. Lutz,2019
BugSwarm: Mining and Continuously Growing a Dataset of Reproducible Failures and Fixes,D. A. Tomassi; N. Dmeiri; Y. Wang; A. Bhowmick; Y. Liu; P. T. Devanbu; B. Vasilescu; C. Rubio-Gonz¨¢lez,2019
Efficient Detection of Thread Safety Violations via Coverage-Guided Generation of Concurrent Tests,A. Choudhary; S. Lu; M. Pradel,2017
A SEALANT for Inter-App Security Holes in Android,Y. K. Lee; J. Y. Bang; G. Safi; A. Shahbazian; Y. Zhao; N. Medvidovic,2017
Mining Software Defects: Should We Consider Affected Releases?,S. Yatish; J. Jiarpakdee; P. Thongtanunam; C. Tantithamthavorn,2019
LEOPARD: Identifying Vulnerable Code for Vulnerability Assessment Through Program Metrics,X. Du; B. Chen; Y. Li; J. Guo; Y. Zhou; Y. Liu; Y. Jiang,2019
On Learning Meaningful Code Changes Via Neural Machine Translation,M. Tufano; J. Pantiuchina; C. Watson; G. Bavota; D. Poshyvanyk,2019
FastLane: Test Minimization for Rapidly Deployed Large-Scale Online Services,A. A. Philip; R. Bhagwan; R. Kumar; C. S. Maddila; N. Nagppan,2019
DLFinder: Characterizing and Detecting Duplicate Logging Code Smells,Z. Li; T. Chen; J. Yang; W. Shang,2019
FLOSS Participants' Perceptions About Gender and Inclusiveness: A Survey,A. Lee; J. C. Carver,2019
Class Imbalance Evolution and Verification Latency in Just-in-Time Software Defect Prediction,G. G. Cabral; L. L. Minku; E. Shihab; S. Mujahid,2019
Learning to Prioritize Test Programs for Compiler Testing,J. Chen; Y. Bai; D. Hao; Y. Xiong; H. Zhang; B. Xie,2017
Fuzzy Fine-Grained Code-History Analysis,F. Servant; J. A. Jones,2017
Resource-Aware Program Analysis Via Online Abstraction Coarsening,K. Heo; H. Oh; H. Yang,2019
LibD: Scalable and Precise Third-Party Library Detection in Android Markets,M. Li; W. Wang; P. Wang; S. Wang; D. Wu; J. Liu; R. Xue; W. Huo,2017
